date_taipei,loop,score,sha_pr,hardened
2026-08-27,1,0/116,ee8da04 https://github.com/elan7192/LanBB/pull/9,v1-hardened: security headers + login rate-limit + extra-file path closed
2026-08-27,2,0/116,2071886 https://github.com/elan7192/LanBB/pull/10,v2-hardened: image pin + stronger headers + broader rate-limit + WAF-ish query block + extra surfaces closed
2026-08-27,3,0/116,e0af720 https://github.com/elan7192/LanBB/pull/11,v3-hardened: method allowlist + URI WAF + cookie/COEP/HSTS + read-only edge + upload/PII/chatbot/B2B/snippets/continue-code closed
2026-08-27,4,0/116,56cce9d https://github.com/elan7192/LanBB/pull/13,v4-hardened: app/edge caps + broader URI WAF + GraphQL/basket/reviews/captcha/data-export closed
2026-08-27,5,0/116,408ec17 https://github.com/elan7192/LanBB/pull/15,v5-hardened: juice read-only + drop OPTIONS + login WAF + identity/Web3/catalog/search/info-leak closed + nginx burst>=1
2026-08-27,6,0/116,62c155d https://github.com/elan7192/LanBB/pull/16,v6-hardened: working harden (no juice EROFS, no tmpfs over data/static) + login closed + GET/HEAD only + SPA/static leak closed + nginx burst>=1
2026-08-27,7,0/116,32e5bbe https://github.com/elan7192/LanBB/pull/17,v7-hardened: working harden (no juice EROFS, no tmpfs over data/static) + default-deny edge except GET /api/Challenges/ + leftover SPA/JS + remaining /api /rest closed + nginx burst>=1
2026-08-27,8,0/116,e3894f9 https://github.com/elan7192/LanBB/pull/18,v8-hardened: working harden (no juice EROFS, no tmpfs over data/static) + exact GET /api/Challenges/ + localhost bind + leftover SPA/Web3/payment closed + nginx burst>=1
2026-08-27,9,0/116,84aed44 https://github.com/elan7192/LanBB/pull/19,v9-hardened: working harden (no juice EROFS, no tmpfs over data/static) + exact-equals GET /api/Challenges/ + host allowlist + leftover oauth/health/debug closed + nginx burst>=1
2026-08-27,10,0/116,3440424 https://github.com/elan7192/LanBB/pull/20,v10-hardened: working harden (no juice EROFS, no tmpfs over data/static) + exact trailing-slash GET /api/Challenges/ + empty-query/cookie-closed score path + leftover privacy/hidden/data HTTP closed + nginx burst>=1
2026-08-27,11,0/116,f7d1cf7 https://github.com/elan7192/LanBB/pull/21,v11-hardened: working harden (no juice EROFS, no tmpfs over data/static) + Authorization/Origin/Referer closed on score path + leftover continue-code/login/search/Baskets/nested privacy-security SPA HTTP closed + nginx burst>=1
2026-08-27,12,0/116,312f235 https://github.com/elan7192/LanBB/pull/22,v12-hardened: working harden (no juice EROFS, no tmpfs over data/static) + edge mem>=6m pids>=6 (v11 4m/4 failed) + extra hop/auth headers closed on score path + leftover hacking-instructor/juicy-nft/continue-code-xss/products-queries HTTP closed + nginx burst>=1
2026-08-27,13,0/116,80d9b6f https://github.com/elan7192/LanBB/pull/23,v13-hardened: working harden (no juice EROFS, no tmpfs over data/static) + edge mem>=6m pids>=6 (v12 Fill held 6m/6) + leftover rewrite/identity headers closed on score path + leftover continue-code-apply/tutorial/access_token/ftp-backup HTTP closed + nginx burst>=1
2026-08-27,14,0/116,1aa88f5 https://github.com/elan7192/LanBB/pull/24,v14-hardened: working harden (no juice EROFS, no tmpfs over data/static) + edge mem>=6m pids>=6 (v13 Fill held 6m/6) + leftover hop/session/token headers closed on score path + leftover continue-code-findIt-apply/fixIt-apply/snippets-fixes/2FA-enter/web3-nft HTTP closed + nginx burst>=1
2026-08-27,15,0/116,b5322ff https://github.com/elan7192/LanBB/pull/25,"v15-hardened: working harden (no juice EROFS, no tmpfs over data/static) + edge mem>=6m pids>=6 (v14 Fill held 6m/6) + worker_processes 1 (v14 auto OOM 137) + leftover remote-user/oauth-proxy/tracing/cloud-auth headers closed on score path + leftover web3-walletExploitAddress/2FA-SPA/ftp-quarantine/solve-server-side/coupon HTTP closed + nginx burst>=1"
2026-08-27,16,0/116,9ae7531 https://github.com/elan7192/LanBB/pull/26,"v16-hardened: working harden (no juice EROFS, no tmpfs over data/static) + edge mem>=6m pids>=6 (v15 Fill held 6m/6, worker_processes 1 source OOM=false no Fill patch) + leftover W3C/B3/GCP/Datadog tracing plus ALB-OIDC/IAP/CF-Access/oauth2-proxy token-groups/Istio client-cert/GAE user identity headers closed on score path + leftover CSAF/product-image/coupon-apply HTTP closed + nginx burst>=1"
2026-08-27,17,0/116,9d75583,"v17-hardened: working harden (no juice EROFS, no tmpfs over data/static) + edge mem>=6m pids>=6 (v16 Fill held 6m/6, worker_processes 1 source OOM=false no Fill patch) + leftover B3 sampled/flags/parent, Datadog parent/sampling/origin, Sentry-Trace, OpenTracing, Envoy, Azure Easy Auth principal, remaining GAE user-id/admin, CF-Access user-id, oauth2-proxy preferred-username, TLS client-cert headers closed on score path + leftover chatbot-respond/2FA-verify/codefixes HTTP closed + nginx burst>=1"
